Date,Site,ppt
8/9/17 0:00,M,13.6759
8/9/17 4:00,M,13.7109
8/9/17 8:00,M,13.7302
8/9/17 12:00,M,13.7297
8/9/17 16:00,M,13.7316
8/9/17 20:00,M,13.7352
8/10/17 0:00,M,13.7408
8/10/17 4:00,M,13.757
8/10/17 8:00,M,13.7774
8/10/17 12:00,M,13.7829
8/10/17 16:00,M,13.7828
8/10/17 20:00,M,13.7856
8/11/17 0:00,M,13.7836
8/11/17 4:00,M,13.792
8/11/17 8:00,M,13.7978
8/11/17 12:00,M,13.8
8/11/17 16:00,M,13.7989
8/11/17 20:00,M,13.8016
8/12/17 0:00,M,13.7952
8/12/17 4:00,M,13.7872
8/12/17 8:00,M,13.7872
8/12/17 12:00,M,13.7883
8/12/17 16:00,M,13.7963
8/12/17 20:00,M,13.7932
8/13/17 0:00,M,13.7911
8/13/17 4:00,M,13.7892
8/13/17 8:00,M,13.7994
8/13/17 12:00,M,13.7931
8/13/17 16:00,M,13.7991
8/13/17 20:00,M,13.792
8/14/17 0:00,M,13.7921
8/14/17 4:00,M,13.8175
8/14/17 8:00,M,13.8258
8/14/17 12:00,M,13.8243
8/14/17 16:00,M,13.8243
8/14/17 20:00,M,13.8242
8/15/17 0:00,M,13.8182
8/15/17 4:00,M,13.8071
8/15/17 8:00,M,13.8101
8/15/17 12:00,M,13.8132
8/15/17 16:00,M,13.8101
8/15/17 20:00,M,13.8081
8/16/17 0:00,M,13.8061
8/16/17 4:00,M,13.8122
8/16/17 8:00,M,13.8255
8/16/17 12:00,M,13.8183
8/16/17 16:00,M,13.8192
8/16/17 20:00,M,13.8142
8/17/17 0:00,M,13.8065
8/17/17 4:00,M,13.7945
8/17/17 8:00,M,13.7936
8/17/17 12:00,M,13.7996
8/17/17 16:00,M,13.7976
8/17/17 20:00,M,13.7958
8/18/17 0:00,M,13.7871
8/18/17 4:00,M,13.7862
8/18/17 8:00,M,13.787
8/18/17 12:00,M,13.7858
8/18/17 16:00,M,13.7879
8/18/17 20:00,M,13.7842
8/19/17 0:00,M,13.7721
8/19/17 4:00,M,13.7725
8/19/17 8:00,M,13.7731
8/19/17 12:00,M,13.7703
8/19/17 16:00,M,13.7703
8/19/17 20:00,M,13.7667
8/20/17 0:00,M,13.764
8/20/17 4:00,M,13.7583
8/20/17 8:00,M,13.7759
8/20/17 12:00,M,13.7718
8/20/17 16:00,M,13.778
8/20/17 20:00,M,13.7647
8/21/17 0:00,M,13.7576
8/21/17 4:00,M,13.7824
8/21/17 8:00,M,13.7844
8/21/17 12:00,M,13.7881
8/21/17 16:00,M,13.792
8/21/17 20:00,M,13.7895
8/22/17 0:00,M,13.7789
8/22/17 4:00,M,13.7837
8/22/17 8:00,M,13.7801
8/22/17 12:00,M,13.781
8/22/17 16:00,M,13.7801
8/22/17 20:00,M,13.775
8/23/17 0:00,M,13.7703
8/23/17 4:00,M,13.7588
8/23/17 8:00,M,13.7597
8/23/17 12:00,M,13.7598
8/23/17 16:00,M,13.7653
8/23/17 20:00,M,13.7597
8/24/17 0:00,M,13.7819
8/24/17 4:00,M,13.8124
8/24/17 8:00,M,13.8234
8/24/17 12:00,M,13.8226
8/24/17 16:00,M,13.8297
8/24/17 20:00,M,13.8218
8/25/17 0:00,M,13.8313
8/25/17 4:00,M,13.8577
8/25/17 8:00,M,13.8718
8/25/17 12:00,M,13.8688
8/25/17 16:00,M,13.8729
8/25/17 20:00,M,13.871
8/26/17 0:00,M,13.8698
8/26/17 4:00,M,13.8984
8/26/17 8:00,M,13.9251
8/26/17 12:00,M,13.9246
8/26/17 16:00,M,13.9236
8/26/17 20:00,M,13.9266
8/27/17 0:00,M,13.9271
8/27/17 4:00,M,13.9564
8/27/17 8:00,M,13.9836
8/27/17 12:00,M,13.9741
8/27/17 16:00,M,13.9802
8/27/17 20:00,M,13.9751
8/28/17 0:00,M,13.985
8/28/17 4:00,M,14.0115
8/28/17 8:00,M,14.034
8/28/17 12:00,M,14.0311
8/28/17 16:00,M,14.0289
8/28/17 20:00,M,14.0228
8/29/17 0:00,M,14.014
8/29/17 4:00,M,14.0205
8/29/17 8:00,M,14.0415
8/29/17 12:00,M,14.0452
8/29/17 16:00,M,14.0383
8/29/17 20:00,M,14.0541
8/30/17 0:00,M,14.0621
8/30/17 4:00,M,14.0763
8/30/17 8:00,M,14.0976
8/30/17 12:00,M,14.091
8/30/17 16:00,M,14.095
8/30/17 20:00,M,14.0921
8/31/17 0:00,M,14.0792
8/31/17 4:00,M,14.0823
8/31/17 8:00,M,14.0698
8/31/17 12:00,M,14.0753
8/31/17 16:00,M,14.071
8/31/17 20:00,M,14.0736
9/1/17 0:00,M,14.0694
9/1/17 4:00,M,14.0405
9/1/17 8:00,M,14.0603
9/1/17 12:00,M,14.0713
9/1/17 16:00,M,14.0747
9/1/17 20:00,M,14.0794
9/2/17 0:00,M,14.1037
9/2/17 4:00,M,14.1104
9/2/17 8:00,M,14.1241
9/2/17 12:00,M,14.1264
9/2/17 16:00,M,14.1256
9/2/17 20:00,M,14.1329
9/3/17 0:00,M,14.1317
9/3/17 4:00,M,14.1367
9/3/17 8:00,M,14.1261
9/3/17 12:00,M,14.1269
9/3/17 16:00,M,14.1202
9/3/17 20:00,M,14.1281
9/4/17 0:00,M,14.1042
9/4/17 4:00,M,14.111
9/4/17 8:00,M,14.1334
9/4/17 12:00,M,14.1352
9/4/17 16:00,M,14.1253
9/4/17 20:00,M,14.132
9/5/17 0:00,M,14.125
9/5/17 4:00,M,14.1141
9/5/17 8:00,M,14.1104
9/5/17 12:00,M,14.1082
9/5/17 16:00,M,14.1121
9/5/17 20:00,M,14.1101
9/6/17 0:00,M,14.1008
9/6/17 4:00,M,14.0881
9/6/17 8:00,M,14.0908
9/6/17 12:00,M,14.0911
9/6/17 16:00,M,14.0965
9/6/17 20:00,M,14.094
