Site,Number,Treatment,Spp,TIME_1,STATUS_1,TIME_2,STATUS_2,TIME_F,STATUS_F
F,13,CC,BH,92,2,0,2,92,2
F,13,CC,PV,120,2,0,2,120,2
F,13,CC,PA,121,1,88,1,449,1
F,13,CG,IF,121,1,0,2,241,2
F,13,CG,BH,20,2,0,2,20,2
F,13,CG,PV,121,1,88,1,449,1
F,13,CG,PA,121,1,88,1,449,1
F,14,CT,IF,121,1,88,1,449,1
F,14,CT,BH,81,2,0,2,81,2
F,14,CT,PV,121,1,88,1,449,1
F,14,CT,PA,121,1,88,1,449,1
F,14,CC,IF,121,1,88,1,449,1
F,14,CC,BH,81,2,0,2,81,2
F,14,CC,PV,121,1,88,1,449,1
F,14,CC,PA,92,2,0,2,92,2
F,14,CG,IF,121,1,19,2,380,2
F,14,CG,BH,121,1,88,1,449,1
F,14,CG,PV,121,1,88,1,449,1
F,14,CG,PA,121,1,88,1,449,1
F,15,CT,IF,121,1,88,1,449,1
F,15,CT,BH,121,1,88,1,449,1
F,15,CT,PV,121,1,88,1,449,1
F,15,CT,PA,121,1,88,1,449,1
F,15,CC,IF,121,1,45,2,406,2
F,15,CC,BH,121,1,88,1,449,1
F,15,CC,PV,120,2,88,1,208,2
F,15,CC,PA,121,1,88,1,449,1
F,15,CG,IF,121,1,88,1,449,1
F,15,CG,BH,121,1,88,1,449,1
F,15,CG,PV,121,1,88,1,449,1
F,15,CG,PA,121,1,88,1,449,1
F,16,CT,IF,121,1,88,1,449,1
F,16,CT,BH,121,1,34,2,395,2
F,16,CT,PV,121,1,88,1,449,1
F,16,CT,PA,121,1,88,1,449,1
F,16,CC,IF,121,1,88,1,449,1
F,16,CC,BH,121,1,88,1,449,1
F,16,CC,PV,121,1,88,1,449,1
F,16,CC,PA,121,1,88,1,449,1
F,16,CG,IF,121,1,88,1,449,1
F,16,CG,BH,121,1,88,1,449,1
F,16,CG,PV,121,1,88,1,449,1
F,16,CG,PA,121,1,88,1,449,1
F,17,CT,IF,121,1,88,1,449,1
F,17,CT,BH,121,1,0,2,241,2
F,17,CT,PV,120,2,88,1,208,2
F,17,CT,PA,121,1,59,2,420,2
F,17,CC,IF,121,1,88,1,449,1
F,17,CC,BH,121,1,34,2,395,2
F,17,CC,PV,121,1,88,1,449,1
F,17,CC,PA,121,1,88,1,449,1
F,17,CG,IF,121,1,88,1,449,1
F,17,CG,BH,121,1,88,1,449,1
F,17,CG,PV,121,1,88,1,449,1
